ID,Covey_Num,Band_Num,Sex,Age,BirdX,BirdY,DateTime,HuntDay,Treatment_Sp,Treatment,Treatment_Year,Step_Length,HW_Dist,SS_Dist
1,23,16-000201,F,J,401235,3647772,12/1/16 6:42,Rabbit,3E,3,0,50,102.9562988,18.4776516
1,23,16-000201,F,J,401275,3647742,12/1/16 7:01,Rabbit,3E,3,0,37.65634077,152.3154602,9.238825798
1,23,16-000201,F,J,401238,3647735,12/1/16 7:16,Rabbit,3E,3,0,35.51056181,125.2996445,0
1,23,16-000201,F,J,401232,3647770,12/1/16 7:30,Rabbit,3E,3,0,32.69556545,102.9562988,18.4776516
1,23,16-000201,F,J,401262,3647783,12/1/16 7:45,Rabbit,3E,3,0,55.00909016,126.4911041,36.95530319
1,23,16-000201,F,J,401237,3647734,12/1/16 8:00,Rabbit,3E,3,0,22.20360331,122.0655594,0
1,23,16-000201,F,J,401219,3647721,12/1/16 8:15,Rabbit,3E,3,0,54.5710546,120.415947,18.4776516
1,23,16-000201,F,J,401232,3647774,12/1/16 8:30,Rabbit,3E,3,0,29.69848481,102.9562988,13.06567287
1,23,16-000201,F,J,401253,3647795,12/1/16 8:45,Rabbit,3E,3,0,15,111.8033981,36.95530319
1,23,16-000201,F,J,401253,3647810,12/1/16 9:00,Rabbit,3E,3,0,6.08276253,107.7032928,38.09265518
1,23,16-000201,F,J,401254,3647816,12/1/16 9:15,Rabbit,3E,3,0,42.43819035,104.4030685,38.09265518
1,23,16-000201,F,J,401278,3647851,12/1/16 9:30,Rabbit,3E,3,0,150.4460036,125.2996445,26.13134575
1,23,16-000201,F,J,401393,3647948,12/1/16 9:45,Rabbit,3E,3,0,44.55333882,20,0
1,23,16-000201,F,J,401425,3647917,12/1/16 10:00,Rabbit,3E,3,0,35.35533906,0,9.238825798
1,23,16-000201,F,J,401400,3647942,12/1/16 10:15,Rabbit,3E,3,0,80.15609771,10,0
1,23,16-000201,F,J,401480,3647947,12/1/16 10:30,Rabbit,3E,3,0,77.87810989,0,13.06567287
1,23,16-000201,F,J,401448,3647876,12/1/16 10:45,Rabbit,3E,3,0,101.8430165,0,18.4776516
1,23,16-000201,F,J,401414,3647972,12/1/16 11:00,Rabbit,3E,3,0,58.21511831,14.14213562,13.06567287
1,23,16-000201,F,J,401472,3647967,12/1/16 11:15,Rabbit,3E,3,0,71.78439942,0,36.95530319
1,23,16-000201,F,J,401404,3647990,12/1/16 11:30,Rabbit,3E,3,0,41.77319715,31.62277603,9.238825798
1,23,16-000201,F,J,401435,3647962,12/1/16 11:45,Rabbit,3E,3,0,25.29822128,0,29.21573257
1,23,16-000201,F,J,401443,3647986,12/1/16 12:00,Rabbit,3E,3,0,49.65883607,0,18.4776516
1,23,16-000201,F,J,401464,3647941,12/1/16 12:16,Rabbit,3E,3,0,57.98275606,0,9.238825798
1,23,16-000201,F,J,401423,3647982,12/1/16 12:30,Rabbit,3E,3,0,40.02499219,10,9.238825798
1,23,16-000201,F,J,401414,3647943,12/1/16 12:45,Rabbit,3E,3,0,42.42640687,0,18.4776516
1,23,16-000201,F,J,401420,3647985,12/1/16 13:00,Rabbit,3E,3,0,7.810249676,14.14213562,0
